,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
19,_Ge2eC89Z-jlaDDWglfT8g,Pa Pa Thai Cuisine,1069 1st Ave,4.5,$$,10022,"['pickup', 'delivery']",223,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'salad', 'title': 'Salad'}]"
20,qusZ-K5tzM1EyOa1IEWCHA,Nourish,637A Vanderbilt Ave,4.0,$$,11238,"['pickup', 'delivery']",261,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'soup', 'title': 'Soup'}]"
21,7CdpBlw4NLaOLzfFL9IEUg,Uncle Boons Sister,203 Mott St,3.5,$$,10012,['delivery'],156,"[{'alias': 'thai', 'title': 'Thai'}]"
22,-5npn9NRmOun7VUVLZpjyw,Eat Gai,88 Essex St,4.0,$,10002,"['pickup', 'delivery']",68,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
23,_7Maf5WG682E7R-EHSz18w,Bangklyn East Harlem,2051 2nd Ave,4.5,$$,10029,"['pickup', 'delivery']",123,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'noodles', 'title': 'Noodles'}]"
24,L2ZW-MdvRJ3gM2RIq8STbA,Thai72,128 W 72nd St,4.0,$$,10023,"['pickup', 'delivery']",264,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
25,vA2VEhW6S1ioX6tXtQdO9A,Lemongrass Grill,156 Court St,3.5,$$,11201,"['pickup', 'delivery']",475,"[{'alias': 'thai', 'title': 'Thai'}]"
26,y_Ei1zBq6pDW6sMyP8ZSyg,Thai-ish,168 Lexington Ave,4.0,$$,10016,"['pickup', 'delivery']",234,"[{'alias': 'thai', 'title': 'Thai'}]"
27,-YazuZbXAM_NOny8LpLQpQ,BKNY Thai Restaurant,47-11 Francis Lewis Blvd,4.0,$$,11361,['delivery'],1317,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'salad', 'title': 'Salad'}]"
28,tjILxkIZKcppgew6NwIngQ,Jai Dee Restaurant,420 7th Ave,3.5,$$,11215,"['pickup', 'delivery']",114,"[{'alias': 'thai', 'title': 'Thai'}]"
29,kXuubLd6s3GidpqU3psPdw,Chao Thai,8503 Whitney Ave,4.0,$$,11373,"['pickup', 'delivery']",379,"[{'alias': 'thai', 'title': 'Thai'}]"
30,AAXX-WkDd1CW3_GgIVivvw,Chang Noi Thai,100 Stuyvesant Pl,4.5,$$,10301,"['pickup', 'delivery']",174,"[{'alias': 'thai', 'title': 'Thai'}]"
31,1ubEg-rrSE8IWXl6lJzIGw,Nur Thai,63-32 Woodhaven Blvd,4.0,$$,11374,"['pickup', 'delivery']",561,"[{'alias': 'thai', 'title': 'Thai'}]"
32,dyFvVNDumWZgXtV3GlK8vw,Link Thai,756 Grand St,4.5,$$,11211,"['pickup', 'delivery']",60,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
